key	text	tooltip
effects_description_ironic_unit_upgrades_fire_charge_bonus	[[b]]%+n%[[/b]] charge bonus for all fire units	false
effects_description_ironic_unit_upgrades_fire_speed	[[b]]%+n%[[/b]] speed for all fire units	false
effects_description_ironic_unit_upgrades_water_range_view	[[b]]%+n%[[/b]] range for all water units	false
effects_description_ironic_unit_upgrades_water_ammo	[[b]]%+n%[[/b]] ammo for all water units	false
effects_description_ironic_unit_upgrades_water_range_block	[[b]]%+n%[[/b]] missile block chance for all water units	false
effects_description_ironic_unit_upgrades_water_all_damage	[[b]]%+n%[[/b]] all ranged damage for all water units	false
effects_description_ironic_unit_upgrades_metal_attack_rate	[[b]]%+n%[[/b]] attack rate for all metal units	false
effects_description_ironic_unit_upgrades_metal_charge_bonus	[[b]]%+n%[[/b]] charge bonus for all metal units	false
effects_description_ironic_unit_upgrades_metal_general_armor	[[b]]%+n%[[/b]] armor for all generals	false
effects_description_ironic_unit_upgrades_water_general_melee_evasion	[[b]]%+n%[[/b]] melee evasion for all generals	false
effects_description_ironic_unit_upgrades_fire_general_charge_bonus	[[b]]%+n%[[/b]] charge bonus for all generals	false
effects_description_ironic_unit_upgrades_earth_general_range_block	[[b]]%+n%[[/b]] missile block chance for all generals	false
effect_bundles_localised_title_ironic_unit_upgrades_wood_armor	Wood Doctrine: Stalwart Mail	false
effect_bundles_localised_description_ironic_unit_upgrades_wood_armor	Mail for the spear lines, maintained to the old general's inspection standard.	false
effect_bundles_localised_title_ironic_unit_upgrades_wood_melee_evasion	Wood Doctrine: Weaving Spears	false
effect_bundles_localised_description_ironic_unit_upgrades_wood_melee_evasion	Footwork before force: spear ranks that give ground by inches and take it back by yards.	false
effect_bundles_localised_title_ironic_unit_upgrades_wood_ap_damage	Wood Doctrine: Splitting Points	false
effect_bundles_localised_description_ironic_unit_upgrades_wood_ap_damage	Points ground to a killing taper, driven through shield and scale alike.	false
effect_bundles_localised_title_ironic_unit_upgrades_wood_range_block	Wood Doctrine: Raised Shields	false
effect_bundles_localised_description_ironic_unit_upgrades_wood_range_block	The patience of the old campaigns: shields up until the sky stops falling.	false
effects_description_ironic_unit_upgrades_wood_armor	[[b]]%+n%[[/b]] armour for all spear infantry	false
effects_description_ironic_unit_upgrades_wood_melee_evasion	[[b]]%+n%[[/b]] melee evasion for all spear infantry	false
effects_description_ironic_unit_upgrades_wood_ap_damage	[[b]]%+n%[[/b]] armour-piercing damage for all spear infantry	false
effects_description_ironic_unit_upgrades_wood_range_block	[[b]]%+n%[[/b]] missile block chance for all spear infantry	false
effects_description_ironic_unit_upgrades_wood_general_all_damage	[[b]]%+n%[[/b]] all damage for generals	false
effects_description_ironic_unit_upgrades_all_armour	[[b]]%+n%[[/b]] armour for all units	false
effects_description_ironic_unit_upgrades_all_melee_defence	[[b]]%+n%[[/b]] melee evasion for all units	false
effects_description_ironic_unit_upgrades_all_melee_ap_damage	[[b]]%+n%[[/b]] armour-piercing damage for all units	false
effects_description_ironic_unit_upgrades_all_melee_all_damage	[[b]]%+n%[[/b]] melee damage for all units	false
effects_description_ironic_unit_upgrades_all_missile_block	[[b]]%+n%[[/b]] missile block chance for all units	false
effects_description_ironic_unit_upgrades_all_speed	[[b]]%+n%[[/b]] speed for all units	false
effects_description_ironic_unit_upgrades_all_charge	[[b]]%+n%[[/b]] charge bonus for all units	false
effects_description_ironic_unit_upgrades_all_range	[[b]]%+n%[[/b]] missile range for all units	false
effects_description_ironic_unit_upgrades_all_ammo	[[b]]%+n%[[/b]] ammunition for all units	false
effects_description_ironic_unit_upgrades_all_missile_all_damage	[[b]]%+n%[[/b]] missile damage for all units	false
effects_description_ironic_unit_upgrades_all_attack_rate	[[b]]%+n%[[/b]] melee attack rate for all units	false
effects_description_ironic_unit_upgrades_all_fatigue	[[b]]%+n%[[/b]] fatigue resistance for all units	false
effect_bundles_localised_title_ironic_unit_upgrades_set_earth	Earth Doctrines Complete: Rapid Deploy	false
effect_bundles_localised_description_ironic_unit_upgrades_set_earth	Every soldier now drills to the old general's standard. The whole army gains Guerrilla Deploy.	false
effect_bundles_localised_title_ironic_unit_upgrades_set_fire	Fire Doctrines Complete: Mighty Knockback	false
effect_bundles_localised_description_ironic_unit_upgrades_set_fire	The hammer stroke is taught to every company. The whole army strikes with Mighty Knockback.	false
effect_bundles_localised_title_ironic_unit_upgrades_set_water	Water Doctrines Complete: Fire While Moving and Parthian Shot	false
effect_bundles_localised_description_ironic_unit_upgrades_set_water	Every rider looses as the old horse-archers did. The whole army may fire while moving, and behind.	false
effect_bundles_localised_title_ironic_unit_upgrades_set_wood	Wood Doctrines Complete: Fatigue Immune	false
effect_bundles_localised_description_ironic_unit_upgrades_set_wood	The punishing march is the army's daily bread. The whole army gains Fatigue Immune.	false
effect_bundles_localised_title_ironic_unit_upgrades_set_metal	Metal Doctrines Complete: Stalk	false
effect_bundles_localised_description_ironic_unit_upgrades_set_metal	The wolf's approach, taught to every company. The whole army moves with Stalk.	false
